Verkäufe,Gewicht,Fettgehalt,Visibilität,Typ,Max_Preis,Ladengrösse
184.4266,17.7,LF,0.195068226,Snack Foods,185.4266,Grocery Store
4865.6664,19.35,Low Fat,0.033082215,Meat,172.5738,Supermarket Type1
1118.544,13.65,Regular,0.078946455,Dairy,186.024,Supermarket Type1
2302.3364,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,Supermarket Type1
2027.361,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,Supermarket Type1
3435.528,15.6,Regular,0.105296072,Snack Foods,170.1764,Supermarket Type1
599.22,15.85,Regular,0.121531501,Baking Goods,59.222,Supermarket Type1
4604.6728,18.25,Low Fat,0,Starchy Foods,164.7526,Supermarket Type1
2285.0256,7.855,Low Fat,0.011324862,Canned,189.6188,Supermarket Type1
5580.7356,7.825,low fat,0.186357148,Household,254.3698,Supermarket Type1
2290.352,8.39,Regular,0.024205661,Frozen Foods,114.0176,Supermarket Type1
1207.0954,12.85,Low Fat,0.033230816,Snack Foods,172.3422,Supermarket Type1
643.1628,NA,Low Fat,0.113720344,Baking Goods,89.9804,Grocery Store
1587.933,19,Low Fat,0.112556507,Frozen Foods,104.9622,Supermarket Type1
5305.0944,5.905,Low Fat,0,Canned,222.5456,Supermarket Type1
1697.79,7.76,Low Fat,0.059352241,Snack Foods,101.87,Supermarket Type1
1427.4752,11.8,reg,0.014087057,Frozen Foods,180.3344,Supermarket Type1
4693.89,16.75,low fat,0.045230944,Snack Foods,187.9556,Supermarket Type2
583.2408,NA,Low Fat,0.293417759,Household,194.6136,Grocery Store
3091.9752,NA,Regular,0.031382044,Baking Goods,171.3764,Supermarket Type3
2479.4392,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,Supermarket Type1
2716.464,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,Supermarket Type1
3285.723,NA,Regular,0.039057677,Breakfast,155.963,Supermarket Type3
661.8052,6.305,Regular,0.123115764,Snack Foods,95.6436,Supermarket Type1
1523.3504,20.85,Low Fat,0.039624006,Meat,117.2808,Supermarket Type1
369.519,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,Grocery Store
690.4346,8.895,Low Fat,0.105274111,Dairy,39.9138,Supermarket Type1
1381.535,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,Supermarket Type1
622.523,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,Supermarket Type1
1274.3412,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,Supermarket Type1
487.3656,NA,Low Fat,0.009714595,Frozen Foods,120.0414,Grocery Store
1231.73,12.15,Low Fat,0.131383762,Frozen Foods,246.046,Supermarket Type1
3755.112,8.75,Regular,0.074613090000000007,Fruits and Vegetables,187.4556,Supermarket Type1
4363.6532,NA,Low Fat,0.028459761,Household,149.9708,Supermarket Type3
1314.2892,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,Supermarket Type1
1805.6496,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,Supermarket Type1
2854.9504,NA,Regular,0.045797829,Snack Foods,178.5344,Supermarket Type3
3896.2616,8.31,Regular,0.115857223,Snack Foods,179.1028,Supermarket Type1
667.7974,16.75,Regular,0.024832806,Soft Drinks,38.7822,Supermarket Type1
3185.853,19.75,Low Fat,0.034027909,Snack Foods,212.0902,Supermarket Type2
2247.7408,17.1,Regular,0.0467696,Canned,141.1838,Supermarket Type1
1794.331,10.5,Regular,0.116576702,Baking Goods,163.121,Supermarket Type1
2530.7058,6.635,Regular,0,Baking Goods,121.3098,Supermarket Type1
679.116,NA,low fat,0.278974075,Soft Drinks,225.372,Grocery Store
812.276,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,Supermarket Type1
699.09,13.3,Low Fat,0.079806266,Dairy,232.53,Supermarket Type1
2732.4432,8.89,low fat,0.005505481,Frozen Foods,102.4016,Supermarket Type1
176.437,NA,Regular,0.064625342,Meat,176.937,Grocery Store
4097.3332,NA,Low Fat,0.071636937,Snack Foods,121.7098,Supermarket Type3
3151.8972,9.1,Regular,0,Breads,173.2054,Supermarket Type1
5942.265,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,Supermarket Type1
4843.695,16.85,Regular,0.160760054,Frozen Foods,192.4478,Supermarket Type1
2542.0244,7.485,Low Fat,0.06911065,Snack Foods,109.0228,Supermarket Type1
2552.6772,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,Supermarket Type1
1141.847,11.65,Low Fat,0.040081193,Snack Foods,227.0694,Supermarket Type2
680.4476,13,Low Fat,0.035307322,Household,47.5034,Supermarket Type1
2085.9514,12.65,LF,0.063017847,Soft Drinks,159.0578,Supermarket Type1
186.424,20.25,Regular,0.171938781,Canned,92.512,Grocery Store
3036.048,8.6,Regular,0.040197932,Canned,190.153,Supermarket Type1
866.8716,12.6,Low Fat,0.049058014,Breads,62.7194,Supermarket Type1
868.869,17.7,Low Fat,0.01161096,Frozen Foods,95.041,Supermarket Type1
1137.1864,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,Supermarket Type1
928.1252,19.25,Low Fat,0.102349519,Dairy,52.7956,Supermarket Type1
762.341,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,Supermarket Type1
707.0796,20.5,Low Fat,0.032835147,Household,40.2822,Supermarket Type1
7968.2944,NA,Low Fat,0.033809913,Canned,180.5976,Supermarket Type3
1438.128,13.5,Low Fat,0.07266912,Household,160.292,Supermarket Type1
6976.2524,NA,Low Fat,0.144338493,Health and Hygiene,224.4404,Supermarket Type3
101.2016,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,Grocery Store
952.094,7.855,Low Fat,0.011307038,Canned,188.5188,Supermarket Type2
1969.4364,7.235,Low Fat,0.076855628,Household,116.0492,Supermarket Type1
5262.4832,NA,Low Fat,0.059956876,Starchy Foods,165.4526,Supermarket Type3
1314.2892,6.92,Low Fat,0.038532062,Dairy,60.5852,Supermarket Type1
535.3032,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,Supermarket Type1
263.6568,18.5,Low Fat,0.056816465,Others,132.1284,Grocery Store
1402.1748,8.02,Low Fat,0.019866705,Household,154.5972,Supermarket Type1
1693.7952,9.195,Low Fat,0.048331717,Household,105.1622,Supermarket Type1
2143.876,12.8,Low Fat,0.091221855,Others,105.5938,Supermarket Type1
2676.516,16.6,Low Fat,0.027622076,Household,177.6344,Supermarket Type1
905.488,14,Regular,0,Frozen Foods,53.064,Supermarket Type1
7370.406,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,Supermarket Type1
6301.1312,16,Low Fat,0.060836524,Starchy Foods,226.8404,Supermarket Type1
1597.92,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,Supermarket Type1
529.311,21.25,Low Fat,0.155350299,Snack Foods,178.237,Supermarket Type1
1969.4364,7.235,Low Fat,0.076841095,Household,117.5492,Supermarket Type1
1034.6532,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,Supermarket Type1
1794.331,13.85,reg,0.026001976,Frozen Foods,161.521,Supermarket Type2
2768.3964,13.65,Regular,0.073209447,Frozen Foods,197.6426,Supermarket Type2
898.83,NA,Low Fat,0.041683481,Soft Drinks,31.29,Supermarket Type3
3169.208,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,Supermarket Type1
3589.9936,18.35,Low Fat,0.014081156,Household,223.5746,Supermarket Type2
262.3252,5.465,Regular,0,Baking Goods,132.5626,Supermarket Type2
1910.1802,18.6,Low Fat,0.152918384,Breakfast,99.8358,Supermarket Type1
1701.7848,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,Supermarket Type1
2471.4496,14,Regular,0.060376776,Frozen Foods,154.5656,Supermarket Type1
1331.6,14,Regular,0.04192285,Snack Foods,54.764,Supermarket Type1
1808.9786,NA,Low Fat,0.077367431,Fruits and Vegetables,97.0094,Supermarket Type3
3315.684,5.905,Low Fat,0.045838211,Canned,222.5456,Supermarket Type2
2618.5914,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,Supermarket Type1
2769.728,6.155,Regular,0.094659871,Meat,214.556,Supermarket Type1
5375.0034,19.5,Regular,0.077608838,Soft Drinks,233.4958,Supermarket Type1
2838.9712,15.2,Low Fat,0.021327477,Canned,216.8824,Supermarket Type1
1743.0644,12.15,Regular,0.042485444,Canned,125.0046,Supermarket Type2
5555.4352,NA,Low Fat,0.025578526,Household,198.8084,Supermarket Type3
619.194,12.6,Low Fat,0.0489808,Breads,61.9194,Supermarket Type2
2120.573,14.5,Low Fat,0.019471688,Others,164.821,Supermarket Type1
3823.0236,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,Supermarket Type1
1360.2294,11.8,Regular,0.057373797,Meat,151.4366,Supermarket Type1
3969.4996,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,Supermarket Type1
345.5502,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,Grocery Store
585.2382,17.85,LF,0,Breads,196.5794,Grocery Store
1010.6844,12.3,Regular,0.064750025,Starchy Foods,92.6804,Supermarket Type1
161.1236,11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,Grocery Store
42.6112,NA,Regular,0.191013663,Soft Drinks,42.1112,Grocery Store
3010.7476,11.1,Low Fat,0.176573035,Baking Goods,157.4604,Supermarket Type1
6024.1584,NA,Regular,0.060134441,Frozen Foods,153.0656,Supermarket Type3
988.713,11.3,Low Fat,0.007294652,Meat,198.1426,Supermarket Type1
239.688,NA,Low Fat,0.128478462,Health and Hygiene,117.944,Grocery Store
1374.2112,5.75,Regular,0.075107656,Dairy,112.8176,Supermarket Type1
4739.8302,NA,Regular,0.049381406,Baking Goods,226.8062,Supermarket Type3
1012.016,11.35,Regular,0.045165796,Snack Foods,100.0016,Supermarket Type2
657.8104,NA,Regular,0.09415375,Fruits and Vegetables,165.7526,Grocery Store
778.986,14,Low Fat,0.028907832,Health and Hygiene,130.431,Supermarket Type1
2336.958,19.75,Regular,0.018059621,Frozen Foods,179.766,Supermarket Type1
2233.0932,6.525,Low Fat,0.090436094,Household,85.0882,Supermarket Type1
1661.8368,10.3,Low Fat,0.146399712,Meat,103.9648,Supermarket Type1
4745.8224,5.78,Regular,0.074264356,Snack Foods,264.7568,Supermarket Type1
3124.5994,11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,Supermarket Type1
467.3916,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,Supermarket Type2
5070.7328,NA,Low Fat,0.01561108,Household,182.5976,Supermarket Type3
540.6296,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,Supermarket Type1
992.7078,19,Regular,0.097313129,Frozen Foods,48.0718,Supermarket Type1
6008.845,14.6,Low Fat,0.059582996,Others,238.8538,Supermarket Type1
2105.2596,NA,Regular,0.098663652,Dairy,62.9194,Supermarket Type3
5359.69,NA,reg,0.101338651,Canned,232.63,Supermarket Type3
745.696,18.75,Low Fat,0.052146456,Health and Hygiene,104.628,Supermarket Type1
3275.736,5.26,Regular,0.041764487,Baking Goods,161.8868,Supermarket Type1
1701.7848,18.25,Low Fat,0.054344186,Snack Foods,140.2154,Supermarket Type1
6704.606,NA,Low Fat,0.078362484,Baking Goods,177.937,Supermarket Type3
4119.9704,15.1,Low Fat,0.052339069,Meat,242.7512,Supermarket Type1
327.5736,15.5,Regular,0.042464962,Baking Goods,81.5934,Grocery Store
780.9834,13.65,Low Fat,0.065732883,Frozen Foods,45.7402,Supermarket Type1
3630.6074,16.1,LF,0.023625114,Soft Drinks,189.3846,Supermarket Type1
317.5866,NA,Regular,0.051643608,Snack Foods,107.3622,Grocery Store
231.6984,12.85,Low Fat,0.165694219,Frozen Foods,39.7164,Grocery Store
133.16,9.5,LF,0.041878397,Soft Drinks,32.99,Supermarket Type1
5650.6446,13.8,Low Fat,0.058091482,Dairy,245.1802,Supermarket Type1
2636.568,5.78,Regular,0,Snack Foods,263.7568,Supermarket Type1
1272.3438,19.7,Low Fat,0.026903714,Household,96.0726,Supermarket Type1
324.9104,14.65,Low Fat,0,Household,161.5552,Grocery Store
131.1626,6.67,Regular,0.150554711,Snack Foods,130.0626,Grocery Store
260.9936,6.11,Regular,0,Fruits and Vegetables,131.2968,Grocery Store
260.9936,13.65,Regular,0.134975628,Frozen Foods,260.0936,Grocery Store
3690.5294,17.2,Low Fat,0.15616879,Meat,160.6578,Supermarket Type1
1139.1838,6.32,LF,0,Meat,40.2822,Supermarket Type1
1995.4026,4.88,Regular,0.133700752,Baking Goods,52.9298,Supermarket Type1
1416.8224,5.425,Regular,0.115119905,Baking Goods,88.3514,Supermarket Type1
265.6542,15.85,Regular,0.110030997,Frozen Foods,37.2506,Supermarket Type1
3552.7088,7.5,Low Fat,0.051038045,Canned,121.7072,Supermarket Type1
2406.867,12.65,Low Fat,0.062837968,Soft Drinks,161.5578,Supermarket Type1
213.056,NA,Low Fat,0.017116983,Others,211.956,Grocery Store
2956.152,20.75,Low Fat,0.024129332,Fruits and Vegetables,124.173,Supermarket Type1
153.134,NA,Low Fat,0.049754975,Dairy,152.134,Grocery Store
1649.8524,9,Low Fat,0,Canned,79.7644,Supermarket Type1
3101.2964,NA,Low Fat,0.101561568,Canned,181.9292,Supermarket Type3
4769.1254,NA,Low Fat,0.005949644,Household,165.6526,Supermarket Type3
3435.528,NA,Regular,0.13956116,Seafood,170.4764,Supermarket Type3
1133.8574,14.1,Low Fat,0.126035694,Fruits and Vegetables,86.4198,Supermarket Type1
2603.278,7.55,Low Fat,0.027164679,Canned,152.334,Supermarket Type1
605.878,13,Low Fat,0.099325278,Household,45.406,Supermarket Type1
2293.0152,NA,Low Fat,0.04357366,Hard Drinks,192.8846,Supermarket Type3
119.1782,NA,Regular,0.082741482,Snack Foods,118.7782,Grocery Store
1929.4884,12.3,Regular,0.064565202,Starchy Foods,92.9804,Supermarket Type1
2074.6328,NA,LF,0.084554569,Snack Foods,109.8912,Supermarket Type3
241.6854,NA,Low Fat,0.058451805,Health and Hygiene,79.9618,Supermarket Type3
6795.1548,17.25,Low Fat,0.113748685,Household,251.3724,Supermarket Type1
639.168,15.85,Low Fat,0.020603511,Household,42.7112,Supermarket Type1
3248.4382,18.85,Low Fat,0.052044976,Health and Hygiene,192.1846,Supermarket Type1
7222.5984,16.35,Regular,0.062764429,Fruits and Vegetables,227.6062,Supermarket Type1
3225.1352,14.1,Low Fat,0.087977262,Dairy,229.0668,Supermarket Type1
3755.112,7.905,Low Fat,0.010010425,Snack Foods,249.0408,Supermarket Type1
3440.8544,12,Low Fat,0.033946163,Canned,179.3976,Supermarket Type1
974.7312,12.15,Regular,0.058414678,Fruits and Vegetables,163.4552,Supermarket Type1
535.969,10.1,Low Fat,0.027106459,Meat,75.367,Supermarket Type1
5259.82,17.5,Low Fat,0.027022883,Frozen Foods,262.491,Supermarket Type1
306.268,NA,Low Fat,0.058153409,Dairy,152.034,Grocery Store
1779.0176,17.1,Low Fat,0.128937661,Fruits and Vegetables,112.3886,Supermarket Type2
759.012,7.785,Low Fat,0.088846306,Fruits and Vegetables,61.451,Supermarket Type1
1877.556,11.8,Regular,0.09357779,Snack Foods,125.9704,Supermarket Type1
3779.0808,13.15,Regular,0.165694678,Fruits and Vegetables,171.8764,Supermarket Type1
41.2796,NA,Low Fat,0.148392623,Frozen Foods,41.5796,Grocery Store
259.662,8.5,Low Fat,0.098438394,Canned,51.1324,Supermarket Type1
193.082,8.645,Low Fat,0.143303291,Health and Hygiene,96.341,Supermarket Type1
1687.803,17.6,Regular,0.076276208,Meat,110.9202,Supermarket Type1
4655.9394,9.1,Low Fat,0.175103435,Baking Goods,127.5362,Supermarket Type1
4950.8888,12.8,Regular,0.023511371,Meat,225.9404,Supermarket Type1
1418.154,7.63,Low Fat,0.06105276,Soft Drinks,95.4436,Supermarket Type1
1225.072,9.285,Regular,0.049559042,Frozen Foods,246.4144,Supermarket Type1
5359.69,13.6,Regular,0.119418124,Dairy,231.03,Supermarket Type1
1764.37,8.895,Low Fat,0.072545601,Breakfast,176.237,Supermarket Type1
2553.343,16.35,Low Fat,0.090486828,Household,195.211,Supermarket Type1
1006.6896,17.6,Low Fat,0.056245075,Frozen Foods,43.3454,Supermarket Type1
1081.925,7.975,Low Fat,0.014618973,Baking Goods,85.225,Supermarket Type1
308.9312,15.85,Low Fat,0.043479126,Starchy Foods,36.7164,Supermarket Type1
2516.724,15.7,Low Fat,0.045166237,Frozen Foods,178.666,Supermarket Type1
1428.141,8.985,Regular,0.057827101,Frozen Foods,128.831,Supermarket Type1
2093.2752,20.35,Low Fat,0.089394766,Dairy,260.1594,Supermarket Type1
1929.4884,6.59,Low Fat,0.10550944,Fruits and Vegetables,85.6908,Supermarket Type1
5829.7448,19.85,Low Fat,0.005234153,Dairy,264.0884,Supermarket Type1
2082.6224,16.85,Low Fat,0.036390174,Snack Foods,91.4488,Supermarket Type1
7298.4996,NA,Low Fat,0.03292824,Meat,173.1738,Supermarket Type3
7452.9652,16.75,Low Fat,0.081252534,Fruits and Vegetables,256.4988,Supermarket Type1
450.0808,17.6,Regular,0.076552407,Meat,110.5202,Supermarket Type1
500.6816,7.905,Low Fat,0.016758569,Snack Foods,250.4408,Grocery Store
3668.558,NA,Low Fat,0.044248175,Snack Foods,126.202,Supermarket Type3
736.3748,7.785,Regular,0.038288087,Fruits and Vegetables,103.1964,Supermarket Type2
6088.0752,7.825,Low Fat,0.186032678,Household,253.0698,Supermarket Type1
2125.2336,NA,Low Fat,0.031867464,Household,101.0016,Supermarket Type3
2277.036,20.75,Low Fat,0.021370201,Soft Drinks,153.0024,Supermarket Type1
573.2538,NA,Low Fat,0.193772568,Fruits and Vegetables,190.3846,Grocery Store
2267.049,6.26,Regular,0.009866049,Meat,151.1366,Supermarket Type1
296.9468,18.2,Low Fat,0.082551042,Fruits and Vegetables,147.3734,Grocery Store
559.272,13,Low Fat,0.099729888,Household,46.306,Supermarket Type2
5559.43,20.25,Regular,0.018801549,Fruits and Vegetables,222.1772,Supermarket Type1
1237.7222,8.695,Low Fat,0.119721451,Household,95.5094,Supermarket Type1
569.259,7.27,Low Fat,0.071222087,Soft Drinks,113.5518,Supermarket Type1
3866.9664,NA,Regular,0.060371962,Breakfast,174.0712,Supermarket Type3
1379.5376,12.85,low fat,0.033287541,Fruits and Vegetables,198.4768,Supermarket Type1
1869.5664,7.075,Low Fat,0.05858462,Dairy,142.7128,Supermarket Type2
5499.508,NA,Regular,0.11679292,Baking Goods,196.211,Supermarket Type3
925.462,8.195,Low Fat,0.031452265,Baking Goods,94.3462,Supermarket Type1
583.2408,7.09,Low Fat,0.00721395,Baking Goods,47.9034,Supermarket Type1
1418.154,6.095,Low Fat,0.081196619,Others,141.4154,Supermarket Type1
942.7728,19.35,Regular,0.049916364,Fruits and Vegetables,80.2644,Supermarket Type1
2364.9216,6.15,Low Fat,0.04627095,Baking Goods,99.3384,Supermarket Type1
3251.7672,NA,Regular,0.02747716,Canned,87.9856,Supermarket Type3
254.3356,NA,Regular,0.104704537,Fruits and Vegetables,125.2678,Grocery Store
5895.659,17.7,Low Fat,0.012540003,Household,167.0474,Supermarket Type1
1134.5232,17.85,Low Fat,0.147023834,Breads,93.7436,Supermarket Type2
7696.648,9.395,Low Fat,0.159657596,Soft Drinks,224.972,Supermarket Type1
2775.7202,15.75,Low Fat,0.141398626,Hard Drinks,250.5382,Supermarket Type1
5317.0788,7.475,Low Fat,0.148821808,Fruits and Vegetables,241.2854,Supermarket Type1
874.8612,7.075,Low Fat,0,Frozen Foods,98.0068,Supermarket Type2
1039.9796,6.445,Low Fat,0.029691762,Baking Goods,92.6436,Supermarket Type1
3038.0454,19.1,Low Fat,0.096715523,Fruits and Vegetables,235.0958,Supermarket Type1
3848.324,20.25,Regular,0.014790559,Dairy,193.6162,Supermarket Type1
527.3136,15,Regular,0.054378253,Canned,59.1904,Supermarket Type1
2390.8878,6.67,Regular,0.123428594,Snack Foods,89.1514,Supermarket Type1
1677.816,NA,Regular,0.029943463,Canned,60.222,Supermarket Type3
801.6232,16.7,Regular,0.052368061,Frozen Foods,112.7176,Supermarket Type1
1267.0174,7.07,Low Fat,0.093861144,Snack Foods,115.5834,Supermarket Type1
886.8456,6.48,Low Fat,0.033968647,Snack Foods,148.0076,Supermarket Type1
452.744,19,Regular,0.173154079,Fruits and Vegetables,228.272,Grocery Store
3877.6192,13.35,Low Fat,0.139735226,Frozen Foods,147.5392,Supermarket Type1
4414.254,NA,Low Fat,0.043351896,Fruits and Vegetables,146.6418,Supermarket Type3
5448.9072,NA,Low Fat,0.042086652,Hard Drinks,122.4388,Supermarket Type3
4950.8888,9.695,Regular,0.12848269,Baking Goods,223.9404,Supermarket Type1
958.752,15,Low Fat,0.049357077,Soft Drinks,62.6168,Supermarket Type1
1956.1204,11.15,Regular,0.008326735,Dairy,149.9708,Supermarket Type1
2404.2038,20.85,Low Fat,0.021362955,Fruits and Vegetables,103.2306,Supermarket Type1
387.4956,9.8,Low Fat,0.151420934,Others,194.3478,Grocery Store
994.7052,16.35,Low Fat,0.032511818,Meat,165.0842,Supermarket Type1
1754.383,9.6,Regular,0.022323658,Breads,101.299,Supermarket Type1
3340.9844,NA,Low Fat,0.019292355,Health and Hygiene,129.9994,Supermarket Type3
3918.8988,13.35,Low Fat,0.048124443,Breads,216.7166,Supermarket Type1
306.268,20.7,Low Fat,0.09261307,Dairy,76.367,Supermarket Type1
4278.4308,NA,Low Fat,0.094697274,Baking Goods,158.4604,Supermarket Type3
4425.5726,16.2,Low Fat,0.035984104,Fruits and Vegetables,260.6278,Supermarket Type1
9267.936,NA,Regular,0.056596985,Snack Foods,230.9984,Supermarket Type3
229.701,NA,Low Fat,0.2047,Frozen Foods,76.867,Grocery Store
2055.9904,NA,Regular,0.020618324,Breakfast,129.39940000000001,Supermarket Type3
3339.6528,5.5,Low Fat,0.04709821,Others,101.3016,Supermarket Type1
6410.3224,15.1,Regular,0.087584126,Fruits and Vegetables,221.7456,Supermarket Type1
1992.0736,15.7,Regular,0.038078899,Frozen Foods,122.9046,Supermarket Type1
2870.9296,7.895,reg,0.095102092,Breakfast,104.4332,Supermarket Type1
2807.0128,NA,Regular,0.011953902,Canned,164.5184,Supermarket Type3
539.298,17.35,Regular,0.062799379,Baking Goods,88.183,Supermarket Type1
4377.635,7.285,Low Fat,0.031125709,Household,174.3054,Supermarket Type1
2716.464,20.25,Low Fat,0.026005891,Household,180.9976,Supermarket Type1
383.5008,NA,Low Fat,0.09246392,Snack Foods,190.9504,Grocery Store
